e04 , 形容極度不悅。 , 去年 除夕 現在 第一 次 發燒 ， 心裡 超 < 幹 > ！ 沒破 一年 生病 紀錄 ！
e04 , 表示心中極度不悅的咒罵語。 , < 幹 > ！ 現在 想 冒充 大牌 ， 唬 ？
PUMA , 性關係混亂的女子。侮辱性用語。 , 女生 愛錢 ， 女生 CCR ， 堆 女生 愛 劈腿 ， 女生 < PUMA > 。
PUMA , 知名運動用品品牌。 , 鄉民 < PUMA > 牌子 價位 運動 品牌 中 算是 高 ， 品質 普通 。
一一 , 表一個接一個沒有間斷。 , 隨著 時間 慢慢 逝去 ， 影像 < > 眼前 跳過 ， 陷入 沈思 之中 。
一 , 事物的全體。 , 武功 回復 之後 ， < > 身 功夫 傳了 。
一些 , 表不確定的小數量。 , 拿 瓶 藥水 ， 用 棉花棒 蘸 < 一些 > ， 塗在 顆 牙齒 牙齦 上 。
一些 , 表程度輕微，常接在形容詞之後。 , 棵 秧苗 往 上 拔一拔 ， 使 比鄰 家 秧苗 更 高 < 一些 > 。
一似 , 引介比喻前述事物的狀態。 , 見 兩 著皂衫 ， < 似 > 虞 侯府 幹 打扮 ， 入來 鋪裡 坐 地 。
一併 , 表不同的主體在同一空間或進行同一事件。 , 日本人 統治 台灣 ， 連同 信仰 力求 < 一併 > 毀滅 。
一來 , 關聯連接詞。連接第一項列舉事項。常用「一來…，二來…」。 , 以往 考慮 ， < 來 > 不可能 ， 二來 自信心 太強 。
一 , 全體中的所有個體單位，強調各個個體都適用。 , 密碼 < > 組三 ， 決定 蛋白質 上 特定 胺基酸 。
一共 , 表全部計數的總結等同後述數值。 , 飛機 舊金山 直飛 臺灣 ， < 一共 > 飛了 十六 鐘頭 。
一再 , 表一次又一次做相同動作或發生同類事件。 , 父親 < 一再 > 地 追問 ， 木蘭 說明 心事 。
一切 , 全部，所有。 , 人 < 一切 > 事業 發展 推動 ， 成敗 決定 者 。
一半 , 事情進行到中途。 , 有些 醫學系 學生 唸到 < 一半 > 感興趣 。
一半 , 二分之一。 , 勤勞 帶給 人 ， < 一半 > 快樂 ， < 一半 > 痛苦 。
一口氣 , 表不間斷地完成後述事件。 , < 一口氣 > 杯 中酒 喝乾 ， 眼淚 忍不住 流下來 。
一同 , 表不同的主體在同一空間或進行同一事件。 , 陳秋伶 、 陳粲仁 兄妹 ， 媽媽 < 一同 > 兒童 畫 著色 。
一同 , 表因具有相同的前述特質而共同進行特定事件。常用「有…一同」。 , 歡迎 您 有道 < 一同 > ， 扶老攜幼 ， 共為 清涼 綠蔭 ， 再添 光彩 。
一同 , 表在同一個處所。 , < 一同 > 生活 ， < 一同 > 成長 朋友 ， 勢必 逐漸 疏遠 。
一向 , 表事件從過去持續到現在。 , 我國 企業 < 一向 > 家族 型態 經營 特徵 ， 企業 家業 ，
一味 , 表專注於後述事件而忽略其他方面，通常隱含負面含意。 , 自助 才能 得天助 ， < 一味 > 依賴 別人 ， 自取其辱 。
一塊兒 , 表不同的主體在同一空間或進行同一事件。 , 二月 三號 那天 ， 思東 跟著 大家 < 一塊兒 > 故宮 博物院 。
一塊兒 , 表在同一個處所。 , 孫道 臨在 致詞 時 ， 當年 < 一塊兒 > 工作 夥伴 好多 。
一塊 , 表不同的主體在同一空間或進行同一事件。 , 部長 表示 兩 問題 最好 < 一塊 > 討論 。
一塊 , 表在同一個處所。 , 問問 ， 您 是否 真的 知道 您 < 一塊 > 工作 < 一塊 > 生活 人 想 什麼 。
一大早 , 時間詞。上午較早的時段，正確時間依描述對象而異。 , 天 < 一大早 > 出門 打獵 ， 天快 黑 回家 。
一如 , 引介相同的事件情況。 , 確知 ， 樂師 們 < 一如 > 過去 藝術性 上 掙扎 求 突破 。
