一一 , 表一個接一個沒有間斷。
一 , 事物的全體。
一些 , 表不確定的小數量。
一些 , 表程度輕微，常接在形容詞之後。
一似 , 引介比喻前述事物的狀態。
一併 , 表不同的主體在同一空間或進行同一事件。
一來 , 關聯連接詞。連接第一項列舉事項。常用「一來…，二來…」。
一 , 全體中的所有個體單位，強調各個個體都適用。
一共 , 表全部計數的總結等同後述數值。
一再 , 表一次又一次做相同動作或發生同類事件。
一切 , 全部，所有。
一則 , 關聯連接詞。連接列舉事項。常用「一則…，二則…」、「一則…，再則…」。
一半 , 事情進行到中途。
一半 , 二分之一。
一口氣 , 表不間斷地完成後述事件。
一同 , 表不同的主體在同一空間或進行同一事件。
一同 , 表因具有相同的前述特質而共同進行特定事件。常用「有…一同」。
一同 , 表在同一個處所。
一向 , 表事件從過去持續到現在。
一味 , 表專注於後述事件而忽略其他方面，通常隱含負面含意。
一塊兒 , 表不同的主體在同一空間或進行同一事件。
一塊兒 , 表在同一個處所。
一塊 , 表不同的主體在同一空間或進行同一事件。
一塊 , 表在同一個處所。
一大早 , 時間詞。上午較早的時段，正確時間依描述對象而異。
一如 , 引介相同的事件情況。
一如 , 引介與前述事物有高相似度的後述事物作為譬喻。
一如 , 形容真如法性之妙理平等無差別。
一定 , 形容不會改變的。
一定 , 形容程度頗高的，常與「有」連用。
一定 , 普通名詞。明確的規定。
一定 , 表對推論的肯定，沒有例外。
一家子 , 代指一個家庭中的所有成員。
一帶 , 位置詞。特定地點及與其相連的地區。
一度 , 表曾經有過一次。
一律 , 形容相同的。
一律 , 表後述的條件適用全體，沒有例外。
一心一意 , 表投入所有的心思，毫無保留。
一心 , 表投入所有的心思，毫無保留。
一心 , 表有共同理念。
一手 , 形容原始的。
一手 , 普通名詞。與手相關的才藝。
一手 , 表手部的一次迅速動作。
一手 , 關聯連接詞。連接同時進行兩個事件。常用「一手…一手…」。
一方面 , 關聯連接詞。連接同時進行的不同事件或觀點。常用「一方面…，一方面…」、「一方面….，另一方面…」。
一旁 , 表靠近參考點的地方。
一旦 , 關聯連接詞。連接假設事件，做為時間條件。
一早 , 表天亮之後，早晨的前半段。
一昧 , 表專注於後述事件而忽略其他方面，通常隱含負面含意。
一 , 普通名詞。一直線所呈現出的一字形狀。
一概 , 表適用於全體，沒有例外。
一模一樣 , 形容比較的對象完全相同。
一樣 , 形容沒有差別的。
一樣 , 表處於相同的狀況。
一無所知 , 完全沒有訊息或知識。
一生 , 普通名詞。從出生到死亡的時間。
一直 , 表不改變方向向後述目的地運動。
一直 , 表事件持續不間斷。
一直 , 表事件狀態由前述描述發展到後述描述。常與「到」連用。
一直 , 表在後述時點前事件沒有改變。常與「到」連用。
一直 , 表狀態從過去持續到參考時點，強調其狀態沒有改變過。
一知半解 , 對前述對象了解不夠完全。
一致 , 形容相同的。
一舉 , 表在一次事件中同時完成。
一舉 , 表由第一次行動中完成。
一般 , 引用前述事件作為隱喻來描述。
一般 , 形容一種、一番。
一般 , 形容在同類事物中不是特別或專門的。
一般 , 形容程度和同類對象沒有明顯差異的。
一般而言 , 句副詞。表在通常的情況下。
一般 , 表特定事件發生的比例高。
一 , 表不正式做特定動作。常用「…一…」。
一 , 表完成後述動作後，緊接著發生相關事件結果。
一 , 表後述動作的完整性。
一視同仁 , 平等對待前述的對象。
一言以蔽之 , 句副詞。表用一句話來概括。
一貫 , 形容依照一定法則，從不改變的。
一起 , 普通名詞。同一團體。
一起 , 表不同的主體在同一空間或進行同一事件。
一起 , 表在同一個處所。
一路 , 表事件發生涵蓋整個路程。
一路 , 表事件的整個過程，方向或特性沒有改變。
一連串 , 形容多個同類事件在短時間內發生。
一連 , 表同一事件在後述時段中持續發生。
一連 , 表類似事件緊接著發生。
一邊 , 表不被重視的事情。
一邊 , 表同時進行兩個動作。常用「一邊…一邊…」。
一邊 , 表靠近參考點的地方。
一面倒 , 形容局勢完全對其中的一方有利。
一面 , 表同時進行兩個動作。常用「一面…一面…」。
一點兒 , 極少，常與否定詞連用，為完全、全部的意思。
一點兒 , 表不確定的小數量。
一點 , 極少，常與否定詞連用，為完全、全部的意思。
一點 , 表不確定的小數量。
一點 , 表程度輕微，常接在形容詞之後。
一點點 , 表不確定的小數量。
一齊 , 表不同的主體同時做同一件事。
丁 , 代指沒有指名的對象中的第四個。
丁年 , 普通名詞。人一生中最壯盛的時期。
丁 , 普通名詞。兩條直線垂直而不相交所呈現出的丁字形狀。
丁 , 普通名詞。切成小方塊的食材。常用接尾詞。
丁 , 普通名詞。接尾詞。從事前述勞動工作的男子。
丁 , 普通名詞。方形的小布塊。
七 , 序數。順序排在第七。
七 , 數目字。整數，為六加一的和。
万 , 數目字。整數，千的十倍。
万 , 普通名詞。麻將中的牌面，為序數牌之一。
万 , 表絕對。
丈夫 , 普通名詞。女子在婚姻關係中的配偶。
丈夫 , 普通名詞。對女子在婚姻關係中的配偶的指稱。
丈 , 普通名詞。長度的單位，市制一丈等於十尺。
丈 , 測量土地面積。
丈 , 計算長度的單位，市制一丈等於十尺。
三 , 專有名詞。姓。
三 , 數目字，整數，為二加一的和。
三 , 表眾多。
上 , 事件或時間順序在參考點之前。
上 , 事物分成兩部份或三部份時，開頭的部份。
上升 , 位置往高處移動。
上升 , 狀態的等級或地位增高。
上去 , 往高處移動。
上去 , 置於動詞之後，表示進行前述具有趨向性的動作。
上天 , 普通名詞。人類相信能夠控制自然界或人類命運的主宰者。
上學 , 在正規學校系統接受教育。
上學 , 進入特定學校系統開始接受教育。
上山 , 從山的低處向高處移動。
上山 , 蠶吐絲作繭。
上市 , 公司有一定規模並經政府認定許可，可以在股票市場裡流通。
上市 , 特定商品開始在市場上販賣。
上旬 , 時間詞。一個月前面的十天。
上 , 比喻靈性存在物在後述對象體內控制其言語或行為。
上班 , 從事有固定工作時段的工作。
上班 , 按規定的時間工作。
上臺 , 出任職務或掌權。
上臺 , 進行表演或演講。
上課 , 學生在特定學校系統修習特定課程。
上課 , 老師在特定學校系統教授特定課程。
上述 , 普通名詞。文章或談話中所敘述過的內容。
上 , 進入特定學校系統開始接受教育。
上進 , 形容自己求進步的。
上面 , 位置詞。事件的發生在前述事物的範圍內。
上面 , 位置詞。以前述事物為主題的範圍。
上面 , 位置詞。以前述事物為對象。
上面 , 位置詞。同一物體內較高的部份。
上面 , 位置詞。地位或等級較高的人物。
上面 , 位置詞。比喻數量較多的方向。
上面 , 位置詞。比喻程度較高的方向。
上面 , 位置詞。比喻階級架構較高的方向。
上面 , 位置詞。比喻順序較前的方向。
上面 , 位置詞。較高的或向天的方向。
上面 , 位置詞。順序在參考點之前的文本。
上面 , 普通名詞。前述動作的對象。
上面 , 高於前述物體的位置。
上 , 高於前述物體的位置。
下 , 事件或時間順序在參考點之後。
下 , 事物分成兩部份或三部份時，結尾的部份。
下令 , 上級對下級發佈命令。
下 , 位置詞。同一物體內較低的部份。
下 , 位置詞。比喻地位或等級較低的人物。
下 , 位置詞。比喻階級架構較低的方向。
下 , 位置詞。比喻順序較後的方向。
下 , 位置詞。表處在前述事件的情況或條件中。
下 , 位置詞。被前述物體覆蓋住的物體的位置。
下 , 位置詞。較低的或與天相反的方向。
下 , 位置詞。鄰近前述物體的底部或低於該物體位置。
下 , 使人或物離開運輸工具並到某處。
下來 , 從北邊向南邊接近參考點移動。
下來 , 物體產生向下位移。
下來 , 由高處向接近參考點的低處移動。
下來 , 表經過前述時段。
下列 , 形容順序在參考點之後所列舉的。
下去 , 指事件繼續進行。
下去 , 指高階層的人到基層單位去。
下去 , 時態標記。表事件繼續進行。
下去 , 時態標記。表狀態繼續發展，通常指負面。
下去 , 物體產生向下位移。
下去 , 由高處向離開參考點的低處移動。
下屬 , 形容同一組織系統中，等級較低的。
下屬 , 普通名詞。直屬的下級。
下山 , 從山的高處向低處移動。
下山 , 比喻太陽或月亮降到地平線以下。
下旬 , 時間詞。一個月最後的十天。
下 , 時態標記。表由動態進入靜態。
下班 , 規定的工作時段結束。
下 , 發出指示或通知，使有所行動。
下臺 , 交出職務或政權。
下臺 , 擺脫困窘的處境，多用於否定句式。
下臺 , 結束表演，從臺上下來。
下 , 表完成前述事件，後接導致的結果。
下跪 , 向特定對象跪下。
下車 , 離開所搭乘的車子。
下 , 進行棋賽或其中的一步動作。
下鍋 , 烹調時把食物放進鍋內。
下 , 降低音高。
